Year,Tic,EPS,Dividends,Net_Income,Price
2023,XOM,8.89,14941,36010,99.98
2014,GE,1.5,8949,15233,25.27
2015,GE,-0.61,9143,-6127,31.15
2016,GE,0.89,8398,8829,31.6
2017,GE,-0.72,7305,-5774,17.45
2018,GE,-2.62,3222,-22355,7.57
2019,GE,-0.62,350,-4979,11.16
2013,HD,3.76,2243,5385,76.85
2014,HD,4.71,2530,6345,104.42
2015,HD,5.46,3031,7009,125.76
2016,HD,6.45,3404,7957,137.58
2017,HD,7.29,4212,8630,200.9
2018,HD,9.73,4704,11121,183.53
2019,HD,10.25,5958,11242,228.1
2020,HD,11.94,6451,12866,270.82
2021,HD,15.53,6985,16433,366.98
2022,HD,16.69,7789,17105,324.17
2023,HD,15.11,8383,15143,352.96
2014,INTC,2.31,4409,11704,36.29
2015,INTC,2.33,4556,11420,34.45
2016,INTC,2.12,4925,10316,36.27
2017,INTC,1.99,5072,9601,46.16
2018,INTC,4.48,5541,21053,46.93
2019,INTC,4.71,5578,21048,59.85
2020,INTC,4.94,5568,20899,49.82
2021,INTC,4.86,5644,19868,51.5
2022,INTC,1.94,5997,8014,26.43
2023,INTC,0.4,3088,1689,50.25
2014,IBM,11.9,4265,12022,160.44
2015,IBM,13.42,4897,13190,137.62
2016,IBM,12.38,5256,11872,165.99
2017,IBM,6.14,5506,5753,153.42
2018,IBM,9.52,5256,8728,113.67
2019,IBM,10.56,5707,9431,134.04
2020,IBM,6.23,5797,5590,125.88
2021,IBM,6.35,5869,5743,133.66
2022,IBM,1.8,5948,1639,140.89
2023,IBM,8.14,6040,7502,163.55
2014,JNJ,5.7,7768,16323,104.57
2015,JNJ,5.48,8173,15409,102.72
2016,JNJ,5.93,8621,16540,115.21
2017,JNJ,0.47,8943,1300,139.72
2018,JNJ,5.61,9494,15297,129.05
2019,JNJ,5.63,9917,15119,145.87
2020,JNJ,5.51,10481,14714,157.38
2021,JNJ,7.81,11032,20878,171.07
2022,JNJ,6.73,11682,17941,176.65
2023,JNJ,13.72,11770,35153,156.74
2014,LLY,2.23,2108.1,2390.5,68.99
2015,LLY,2.26,2136,2408.4,84.26
2016,LLY,2.58,2167.6,2737.6,73.55
2017,LLY,-0.19,2234.6,-204.1,84.46
2018,LLY,3.13,2372,3232,115.72
2019,LLY,8.89,2430.5,8318.4,131.43
2020,LLY,6.79,2786.2,6193.7,168.84
2021,LLY,6.12,3201.7,5581.7,276.22
2022,LLY,6.9,3667.5,6244.8,365.84
2023,LLY,5.8,4221.3,5240.4,582.92
2014,MCD,4.82,3216.1,4757.8,93.7
2015,MCD,4.8,3230.3,4529.3,118.14
2016,MCD,5.44,3058.2,4686.5,121.72
2017,MCD,6.37,3089.2,5192.3,172.12
2018,MCD,7.54,3255.9,5924.3,177.57
2019,MCD,7.88,3581.9,6025.4,197.61
2020,MCD,6.31,3752.9,4730.5,214.58
2021,MCD,10.04,3918.6,7545.2,268.07
2022,MCD,8.33,4168.2,6177.4,263.53
2023,MCD,11.56,4532.8,8468.8,296.51
2014,MRK,4.07,5156,11920,56.79
2015,MRK,1.56,5115,4442,52.82
2016,MRK,1.41,5135,3920,58.87
2017,MRK,0.87,5177,2394,56.27
2018,MRK,2.32,5313,6220,76.41
2019,MRK,3.81,5820,9843,90.95
2020,MRK,2.78,6307,7067,81.8
2021,MRK,5.14,6715,13049,76.64
2022,MRK,5.71,7134,14519,110.95
2023,MRK,0.14,7551,365,109.02
2014,BAC,0.36,1262,4833,17.89
2015,BAC,1.31,2091,15888,16.83
2016,BAC,1.5,2573,17906,22.1
2017,BAC,1.56,4027,18232,29.52
2018,BAC,2.61,5424,28147,24.64
2019,BAC,2.75,6146,27430,35.22
2020,BAC,1.87,6289,17894,30.31
2021,BAC,3.57,6575,31978,44.49
2022,BAC,3.19,6963,27528,33.12
2023,BAC,3.08,7374,26515,33.67
2014,WFC,4.1,7123,23057,54.82
2015,WFC,4.12,7642,22894,54.36
2016,WFC,3.99,7661,21938,55.11
2017,WFC,4.1,7658,22183,60.67
2018,WFC,4.28,7889,22393,46.08
2019,WFC,4.05,8444,19549,53.8
2020,WFC,0.41,5015,3301,30.18
2021,WFC,4.95,2426,21548,47.98
2022,WFC,3.14,4184,13182,41.29
2023,WFC,4.83,4796,19142,49.22
2014,PEP,4.27,3814,6513,94.56
2015,PEP,3.67,4071,5452,99.92
2016,PEP,4.36,4282,6329,104.63
2017,PEP,3.38,4536,4857,119.92
2018,PEP,8.78,5098,12515,110.48
2019,PEP,5.2,5323,7314,136.67
2020,PEP,5.12,5589,7120,148.3
2021,PEP,5.49,5896,7618,173.71
2022,PEP,6.42,6275,8910,180.66
